Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px
ThinONL1.png	822d1e59-87f7-419c-ac26-16e3b0862ed4	Detection			ThinONL1	Ellipse	1261.5	188.5
ThinONL1.png	2e5369d7-d464-4b43-9b5a-a61c12370a7f	Detection			ThinONL1	Ellipse	811.5	188.5
ThinONL1.png	2b04356d-5e48-4700-a068-1356fd4dcea9	Detection			ThinONL1	Ellipse	746.5	188.5
ThinONL1.png	c3e90a4b-d421-4c6c-8587-3ca054aee62a	Detection			ThinONL1	Ellipse	1450.5	187.5
ThinONL1.png	d13a72f0-8ab4-4dc7-9495-e0d95d70ee96	Detection			ThinONL1	Ellipse	1410.5	187.5
ThinONL1.png	1fab96fa-cfcc-47c6-91fa-eaeafa006949	Detection			ThinONL1	Ellipse	1162.5	187.5
ThinONL1.png	e49e2632-a021-4b7b-b5f2-5a74bae27543	Detection			ThinONL1	Ellipse	1067.5	187.5
ThinONL1.png	f148b316-4d54-4181-add3-04e056b95d33	Detection			ThinONL1	Ellipse	1043.5	187.5
ThinONL1.png	c6c1c0cc-385e-4e26-a8be-ed447ba81a31	Detection			ThinONL1	Ellipse	656.5	187.5
ThinONL1.png	4c2152f9-4a0d-49b9-bfad-f63e75dec3bd	Detection			ThinONL1	Ellipse	1287.5	186.5
ThinONL1.png	c40ae80d-bed4-4b22-a2f0-890648984613	Detection			ThinONL1	Ellipse	1246.5	186.5
ThinONL1.png	d6a16ca5-5ab9-4ae4-9433-d3a73c5d168b	Detection			ThinONL1	Ellipse	1109.5	186.5
ThinONL1.png	1a44579c-229f-4e8b-b0ed-e2acf1611b44	Detection			ThinONL1	Ellipse	1176.5	185.5
ThinONL1.png	65d54dab-afc6-4ab0-8a31-088341cf9db5	Detection			ThinONL1	Ellipse	1274.5	184.5
ThinONL1.png	fe31b20e-79b4-4cef-ac54-9ab8e409e7bd	Detection			ThinONL1	Ellipse	1008.5	184.5
ThinONL1.png	547bf300-c0fd-45ab-bd8f-087a8787656a	Detection			ThinONL1	Ellipse	794.5	184.5
ThinONL1.png	384dca0b-c9f4-4489-8175-bfb1fea60626	Detection			ThinONL1	Ellipse	1326.5	183.5
ThinONL1.png	cc565938-bee3-411d-8cea-feb43c93a9d7	Detection			ThinONL1	Ellipse	1245.5	183.5
ThinONL1.png	c7cd6cc8-9c3f-4ec9-b45d-83e88b51e196	Detection			ThinONL1	Ellipse	1203.5	183.5
ThinONL1.png	6f1f0d9f-0baa-4fcd-8ee7-01a1bdca8c3e	Detection			ThinONL1	Ellipse	1194.5	183.5
ThinONL1.png	82376e9f-4ad8-45ac-8006-47ce981ccdca	Detection			ThinONL1	Ellipse	1086.5	183.5
ThinONL1.png	7f2b8408-0ef9-48cb-90f8-aa87e8aa2a96	Detection			ThinONL1	Ellipse	1055.5	183.5
ThinONL1.png	34f961c0-2f5c-438a-ab0f-3e0ee728e984	Detection			ThinONL1	Ellipse	1740.5	182.5
ThinONL1.png	18d19322-1252-4ea5-8506-8fb9562e4273	Detection			ThinONL1	Ellipse	1437.5	182.5
ThinONL1.png	53a92261-1cdf-43f9-99b5-fa226495918c	Detection			ThinONL1	Ellipse	1349.5	182.5
ThinONL1.png	5440ca13-8df4-4f2b-b468-ee0815dc91b8	Detection			ThinONL1	Ellipse	1133.5	182.5
ThinONL1.png	eb4e2371-a407-4fc2-9911-c67a2cf9119e	Detection			ThinONL1	Ellipse	887.5	182.5
ThinONL1.png	c1291173-089a-4c21-b208-d28a51ccadb3	Detection			ThinONL1	Ellipse	1536.5	181.5
ThinONL1.png	5e19e607-840f-4dd9-b444-def53b228449	Detection			ThinONL1	Ellipse	1217.5	181.5
ThinONL1.png	a4bc6ab8-56b6-4e9b-ad22-b67912fca939	Detection			ThinONL1	Ellipse	1649.5	180.5
ThinONL1.png	87a853b9-4e44-450f-85cc-852d646717d0	Detection			ThinONL1	Ellipse	1479.5	180.5
ThinONL1.png	c54ccbfa-b819-446d-ad93-ea70daff2032	Detection			ThinONL1	Ellipse	1398.5	180.5
ThinONL1.png	9f9c4584-2606-40b9-a379-f880c973f05a	Detection			ThinONL1	Ellipse	932.5	180.5
ThinONL1.png	bc9c79b5-c30d-405f-af04-5b7563ca7e8e	Detection			ThinONL1	Ellipse	640.5	180.5
ThinONL1.png	b561db41-1cee-4a58-a001-59812e0c36c4	Detection			ThinONL1	Ellipse	781.5	179.5
ThinONL1.png	f25b4cc4-3179-4d13-929c-b056ce23ebda	Detection			ThinONL1	Ellipse	761.5	179.5
ThinONL1.png	792d6858-ccea-4a33-96c3-44e0181a9bcf	Detection			ThinONL1	Ellipse	1424.5	178.5
ThinONL1.png	f630b11d-ab01-46b8-93f4-c5ce5bc7eac2	Detection			ThinONL1	Ellipse	1309.5	178.5
ThinONL1.png	534fb5f8-7e16-4435-bc26-bb3ae4afd1d1	Detection			ThinONL1	Ellipse	867.5	178.5
ThinONL1.png	e7ed2db8-c84f-4048-a5f8-0016073ac277	Detection			ThinONL1	Ellipse	671.5	178.5
ThinONL1.png	996687b3-2f56-40b9-821e-74f2426fde6e	Detection			ThinONL1	Ellipse	1685.5	177.5
ThinONL1.png	a80b92ac-2b6e-4f40-874c-531c2d3c9251	Detection			ThinONL1	Ellipse	996.5	177.5
ThinONL1.png	aba06e72-0beb-48f3-90b3-246dfdc6e17e	Detection			ThinONL1	Ellipse	828.5	177.5
ThinONL1.png	cf749629-2444-4c68-b47a-c86eafd036b0	Detection			ThinONL1	Ellipse	1699.5	176.5
ThinONL1.png	578c4a68-d6dc-42ec-828a-64d4265a12c7	Detection			ThinONL1	Ellipse	1668.5	176.5
ThinONL1.png	4d4aece5-e5b4-41f1-83e5-1ed5a2a93c0b	Detection			ThinONL1	Ellipse	1207.5	176.5
ThinONL1.png	6295be05-ee32-48fe-8b06-4792ef6a771e	Detection			ThinONL1	Ellipse	1058.5	176.5
ThinONL1.png	43e23395-01a8-4d02-bd21-a1166af55763	Detection			ThinONL1	Ellipse	723.5	176.5
ThinONL1.png	4c85e4c1-e755-4540-929c-957a51318709	Detection			ThinONL1	Ellipse	707.5	176.5
ThinONL1.png	75c49979-9583-42d9-b3d0-7d596f924938	Detection			ThinONL1	Ellipse	1552.5	175.5
ThinONL1.png	8c4e9b18-f28a-44d8-9390-16fe7a024a56	Detection			ThinONL1	Ellipse	1500.5	175.5
ThinONL1.png	1f5fbd07-3e43-4dcc-adb0-d709898dd9f3	Detection			ThinONL1	Ellipse	1163.5	175.5
ThinONL1.png	cafb6af4-cc47-434c-9ef1-a416638aa1b4	Detection			ThinONL1	Ellipse	846.5	175.5
ThinONL1.png	5c72b35f-4176-44bd-9065-45bc275b5134	Detection			ThinONL1	Ellipse	1590.5	174.5
ThinONL1.png	0200a1b0-0789-4f63-881b-68f9dfaf9de4	Detection			ThinONL1	Ellipse	1361.5	174.5
ThinONL1.png	52d904da-92e6-4d16-bf0e-bfea27fc9dc5	Detection			ThinONL1	Ellipse	959.5	174.5
ThinONL1.png	001b9c33-ff10-47f2-b57a-807712fa2346	Detection			ThinONL1	Ellipse	915.5	174.5
ThinONL1.png	96073494-6862-4047-b465-b81f11ee5ee4	Detection			ThinONL1	Ellipse	1531.5	173.5
ThinONL1.png	d6401d6f-3e1e-4dea-bc08-4838a7821a70	Detection			ThinONL1	Ellipse	1016.5	173.5
ThinONL1.png	14bebcd2-df21-40ed-8607-21349d25e1d2	Detection			ThinONL1	Ellipse	943.5	173.5
ThinONL1.png	567a204f-0be2-42dd-b105-c8d7e2f94abe	Detection			ThinONL1	Ellipse	740.5	172.5
ThinONL1.png	8d4a7071-39f5-4c65-981e-e38b060a7def	Detection			ThinONL1	Ellipse	1359.5	171.5
ThinONL1.png	b7dabdce-0653-4fe1-adbd-453462a5e88a	Detection			ThinONL1	Ellipse	980.5	171.5
ThinONL1.png	43e8f8f4-4b44-45d8-be92-818243dab1e8	Detection			ThinONL1	Ellipse	688.5	171.5
ThinONL1.png	9d7054c7-cadf-400f-bcfe-a33b9bf8dd1a	Detection			ThinONL1	Ellipse	1618.5	170.5
ThinONL1.png	895a71a1-d3bc-4a1f-8509-2e253c50ff1e	Detection			ThinONL1	Ellipse	1231.5	170.5
ThinONL1.png	d0c35001-6347-4fe0-864f-c4d4645e5450	Detection			ThinONL1	Ellipse	1075.5	170.5
ThinONL1.png	5435473f-f26e-4cde-85aa-5429f80eb9ba	Detection			ThinONL1	Ellipse	1571.5	169.5
ThinONL1.png	219e562b-ffe5-45b9-b9f6-310c916a69ad	Detection			ThinONL1	Ellipse	1040.5	169.5
ThinONL1.png	c4155e18-251b-47f5-92b2-b29ce4f9db46	Detection			ThinONL1	Ellipse	1515.5	168.5
ThinONL1.png	0938d81e-1a7a-4116-8beb-df60927bb2db	Detection			ThinONL1	Ellipse	1180.5	168.5
ThinONL1.png	f54927ec-48b1-4564-8a89-cb800fffa42c	Detection			ThinONL1	Ellipse	1341.5	167.5
ThinONL1.png	8b037c78-40c4-432a-a81e-074880fbf9f5	Detection			ThinONL1	Ellipse	1195.5	167.5
ThinONL1.png	4ddf50d7-53f9-40e1-9115-70a4abbce693	Detection			ThinONL1	Ellipse	1125.5	167.5
ThinONL1.png	79d479a7-5695-458f-99c6-33a51394e312	Detection			ThinONL1	Ellipse	1281.5	166.5
ThinONL1.png	1c22b5da-f1fc-4d78-9cbf-90b3ded8fd1c	Detection			ThinONL1	Ellipse	1146.5	166.5
ThinONL1.png	487a3bff-cfe2-4a84-8115-cfdc6d7bf123	Detection			ThinONL1	Ellipse	1047.5	166.5
ThinONL1.png	851ca1cc-1c4a-48d3-85ba-be18ad171193	Detection			ThinONL1	Ellipse	756.5	166.5
ThinONL1.png	f4be481e-af74-46de-b606-d2ae62fbccd3	Detection			ThinONL1	Ellipse	1605.5	165.5
ThinONL1.png	890f34c9-6f03-4cb1-ba17-3d8f160797e0	Detection			ThinONL1	Ellipse	1464.5	165.5
ThinONL1.png	412c7b06-02d3-4416-ac3d-86dddbeb6b52	Detection			ThinONL1	Ellipse	1126.5	165.5
ThinONL1.png	a1ce81c7-58ec-457d-853a-42428eebfaa3	Detection			ThinONL1	Ellipse	1108.5	165.5
ThinONL1.png	4aeab91e-1fc5-458a-b44c-7069fd69d771	Detection			ThinONL1	Ellipse	997.5	165.5
